SongID,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_emb_1,genre_emb_2,genre_emb_3,genre_emb_4,genre_emb_5,genre_emb_6,genre_emb_7,genre_emb_8,genre_emb_9,genre_emb_10,genre_emb_11,genre_emb_12,genre_emb_13,genre_emb_14,genre_emb_15,genre_emb_16,first_week,last_week,peak_position,weeks_on_chart,hit
Early In The MorningThe Rinky-Dinks,134920.0,0,0.6089999999999999,0.6089999999999999,5.0,-13.835,1.0,0.0297,0.7189999999999999,0.0,0.1479999999999999,0.959,108.965,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1958-08-02,1958-09-27,24,9,0
If Dreams Came TruePat Boone,162306.0,0,0.31,0.122,3.0,-16.23,1.0,0.0344,0.878,0.000182,0.122,0.342,83.152,4.0,0.10411723,-0.5891935,-0.49500737,0.2620471,0.09500714,0.03976544,-0.4382078,-0.42434216,-0.07879887,-0.13225606,-0.2977418,0.523857,0.3564241,-0.6835796,0.10438208,-0.09025706,1958-08-02,1958-10-04,12,10,0
Ginger BreadFrankie Avalon,123653.0,0,0.546,0.623,8.0,-12.136,1.0,0.0352,0.461,4.3e-05,0.195,0.976,147.226,4.0,0.015091467,-0.31214753,-0.28335154,0.69321334,0.3671706,-0.030473467,0.40290856,-0.2701996,-0.51245165,-0.503442,-0.33807784,0.64241934,0.61541104,-0.8304017,0.54090834,-0.13442603,1958-08-02,1958-10-11,9,11,0
Happy YearsThe Diamonds,132280.0,0,0.7139999999999999,0.464,8.0,-11.08,1.0,0.0514,0.9,0.2829999999999999,0.1029999999999999,0.921,124.553,4.0,-0.57032645,-0.62355477,-0.38614488,-0.15755358,0.8923811,0.116648816,0.32603258,0.27417478,-0.37420174,-0.25684327,-0.38350847,0.8341653,-0.08012464,0.1315768,-0.047048427,-0.30448145,1958-08-02,1958-08-23,73,4,0
One Summer NightThe Danleers,133178.0,0,0.4209999999999999,0.3559999999999999,9.0,-6.889,1.0,0.0286,0.883,0.0,0.2879999999999999,0.514,98.393,3.0,-1.2158895,1.5933678,1.3041776,0.28909326,1.1656915,-0.059414964,0.02787936,0.77709776,-0.5524091,-0.16645686,1.1437104,-0.42400792,0.98063046,-0.6226843,0.9489878,-1.1859435,1958-08-02,1958-09-20,16,8,0
All I Have To Do Is DreamThe Everly Brothers,143333.0,0,0.534,0.462,4.0,-8.172,1.0,0.0266,0.8389999999999999,0.0,0.129,0.534,96.195,4.0,0.35176188,-0.31039938,-0.5775238,0.65203094,-0.20807362,-0.5705977,0.023824483,-0.47990498,0.1879641,-0.18202385,0.05360024,0.36626086,0.60904753,-0.23189935,0.029449547,0.08016735,1958-08-02,1961-07-29,49,4,0
Let's Go Steady For The SummerThe Three G's,124893.0,0,0.463,0.5869999999999999,4.0,-5.926,1.0,0.0316,0.66,0.0,0.314,0.752,112.931,3.0,-1.0073841,0.38600883,-0.3271033,1.7818213,-0.47917953,-1.5159458,-0.12293559,-0.7697658,-0.80366236,-1.4016025,-0.42568874,-0.9471799,0.57796293,1.1987877,0.9685649,0.37097856,1958-08-02,1958-08-16,55,3,0
The Purple People Eater Meets The Witch DoctorJoe South,160346.0,0,0.694,0.771,4.0,-4.642,0.0,0.386,0.805,0.0,0.5919999999999999,0.895,146.569,4.0,-0.1533882,-0.55500287,-0.14108133,0.46475086,0.016234962,-0.360907,1.5555916,0.25246146,0.4682773,-0.38766953,0.1282108,0.5242451,-0.17797597,-0.3521082,0.29883364,0.686946,1958-08-02,1958-08-09,89,2,0
Angel BabyDean Martin,164906.0,0,0.622,0.257,6.0,-11.28,1.0,0.0368,0.929,0.0,0.0969,0.4729999999999999,111.221,4.0,0.3656875,-0.11252711,-0.23825003,0.8090256,-0.13842818,-0.09268276,-0.96892565,-0.8451697,-0.0098929005,0.19876319,0.20889358,-0.42997396,1.0619019,-0.88912445,-0.47613147,-0.70217985,1958-08-02,1958-09-06,30,6,0
MidnightPaul Anka,118560.0,0,0.6089999999999999,0.37,2.0,-12.451,1.0,0.0312,0.532,0.0,0.1179999999999999,0.931,140.309,4.0,0.15351103,-0.10566066,-0.17814367,0.62571126,-0.3333299,-0.10616654,-0.27987766,-0.29346666,0.32004222,0.4987906,-0.14875749,-0.008311367,-0.08437796,-0.3619525,-0.13939145,-0.46758333,1958-08-02,1958-08-23,69,4,0
