index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity
11800,I'll Never Find Another YouSonny James,Sonny James,I'll Never Find Another You,['nashville sound'],5S9LsNRLqqZFiDSBMskY72,,145960.0,False,Capitol Collectors Series,0.458,0.277,0.0,-14.122,1.0,0.0288,0.541,1.9e-05,0.1429999999999999,0.6119999999999999,73.789,4.0,23.0
11801,I'll Never Find Another YouThe Seekers,The Seekers,I'll Never Find Another You,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'traditional folk']",1sQ5WUWw3JrsSEhdiQlfRt,https://p.scdn.co/mp3-preview/41111c2b1156492e8f29008dc1830f3ce7fe3913?cid=b8d3901151d34489a160e3cf0ab1fa94,162320.0,False,The Seekers,0.567,0.672,10.0,-7.666,1.0,0.0336,0.75,0.0836999999999999,0.3669999999999999,0.79,126.509,4.0,52.0
11802,I'll Never Get Over You (Getting Over Me)Expose,Expose,I'll Never Get Over You (Getting Over Me),"['freestyle', 'new wave pop']",5jPgOjFotU05FAgA8Y9IFL,https://p.scdn.co/mp3-preview/0f2371050de1d9edbd44a3ae59339f4fddf9dfa6?cid=b8d3901151d34489a160e3cf0ab1fa94,230933.0,False,Exposé,0.323,0.311,8.0,-12.671,1.0,0.0312,0.643,0.0,0.3489999999999999,0.1459999999999999,166.943,4.0,53.0
11803,I'll Never Let You GoSteelheart,Steelheart,I'll Never Let You Go,"['glam metal', 'hard rock', 'sleaze rock']",2GeCfHlX5hfFKcy1aICNwR,,306560.0,False,Steelheart,0.3619999999999999,0.648,1.0,-9.708,1.0,0.0397,0.0139,0.111,0.0882,0.441,72.019,4.0,50.0
11804,I'll Never Love AgainLady Gaga,Lady Gaga,I'll Never Love Again,"['dance pop', 'pop']",4A7EkKijzA4ryEoCRWJzdG,,281066.0,False,A Star Is Born Soundtrack,0.451,0.34,7.0,-7.466,1.0,0.031,0.763,2e-06,0.135,0.221,110.502,4.0,75.0
11805,I'll Never Love This Way AgainDionne Warwick,Dionne Warwick,I'll Never Love This Way Again,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",4V3AGIIQeJoBUPaTCLiscB,https://p.scdn.co/mp3-preview/cba9bab2d3efe5c17739307961d2db7fc2a35135?cid=b8d3901151d34489a160e3cf0ab1fa94,211920.0,False,Dionne (Expanded Edition),0.35,0.371,11.0,-10.538,0.0,0.0319,0.219,0.0,0.151,0.21,131.603,4.0,65.0
11806,I'll Never Smile AgainThe Platters,The Platters,I'll Never Smile Again,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']",3q5sp47cS6OAebFsystUB7,,174893.0,False,Remember When?,0.184,0.1759999999999999,5.0,-13.69,1.0,0.0338,0.972,0.022,0.3659999999999999,0.201,70.27,4.0,31.0
11807,I'll Never Stop Loving YouJ'Son,J'Son,I'll Never Stop Loving You,"['christian hip hop', 'christian trap']",,,,,,,,,,,,,,,,,,
11808,I'll Never Stop Wanting YouBrian Hyland,Brian Hyland,I'll Never Stop Wanting You,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",3FIktn6HunN2ZhlGBP0gy8,,157266.0,False,Chronology,0.331,0.116,11.0,-19.034,0.0,0.0343,0.746,0.0,0.0912,0.2989999999999999,150.66,3.0,4.0
11809,I'll Play For YouSeals & Crofts,Seals & Crofts,I'll Play For You,"['adult standards', 'album rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",3ZbbX73MaieghBBb36x7s1,https://p.scdn.co/mp3-preview/3d4f838cf7200b4b914324bd627a5519fcc2d0d5?cid=b8d3901151d34489a160e3cf0ab1fa94,245546.0,False,Seals & Crofts' Greatest Hits,0.532,0.402,7.0,-12.313,1.0,0.027,0.5849999999999999,0.0,0.0762,0.329,91.858,4.0,39.0
11810,I'll Play The FoolDr. Buzzard's Original Savannah Band,Dr. Buzzard's Original Savannah Band,I'll Play The Fool,['disco'],1bSE0n12PsKE9l6I6wGevd,https://p.scdn.co/mp3-preview/8ea4f2e3bb4ece426d0f2df1b111cf9237279f22?cid=b8d3901151d34489a160e3cf0ab1fa94,288400.0,False,Dr. Buzzard's Original Savannah Band,0.5919999999999999,0.563,8.0,-15.245,1.0,0.0523,0.0108,0.0,0.0571,0.86,106.029,4.0,25.0
